#TYPE PersonName
"firstName","lastName","dateOfBirth","address","socialSecurityNumber"
"BERNICE","Allen","9/22/1987 4:57:36 AM","6148 North Pine Dr.","212-03-1450"
"JENICE","Miller","10/11/2001 11:53:16 AM","1517 Third Dr.","175-60-2147"
"TIFFANY","Thomas","10/31/2015 6:48:55 PM","8610 Eighth Dr.","174-01-0677"
"TISHA","Garcia","7/2/1995 12:42:44 AM","4963 Fifth Dr.","007-70-1035"
"INGE","Smith","7/21/2009 7:38:24 AM","8669 Sixth Rd.","107-25-0118"
"KATHERIN","Thompson","8/8/1951 11:10:31 PM","929 Park Dr.","731-30-4565"
"SHERISE","Davis","8/28/1965 6:06:11 AM","6266 Park St.","576-17-5168"
"AVA","Brown","6/29/1991 4:44:52 PM","9148 Maple Rd.","702-71-6181"
"STEPHANI","Young","7/18/2005 11:40:31 PM","5377 Sixth St.","511-24-1763"
"KASIE","Martinez","5/18/1959 6:55:39 PM","4218 View Dr.","874-46-6080"
"SATURNINA","Rodriguez","6/7/1973 1:51:19 AM","1088 Maple Dr.","460-57-8370"
"OZELLA","Jones","4/8/1999 12:30:00 PM","3597 Fifth Dr.","062-12-7748"
"KRISTA","Anderson","4/27/2013 7:25:40 PM","2823 Seventh Rd.","864-24-1517"
"SARINA","Young","5/16/1955 10:57:47 AM","3275 Third Dr.","013-10-2336"
"PRINCESS","Wilson","3/16/1981 9:36:28 PM","1311 View St.","501-60-6721"
"KATIE","Clark","4/6/1995 4:32:07 AM","144 Park Rd.","423-62-0472"
"CECILY","Hall","2/2/1949 11:47:15 PM","6769 Elm St.","066-68-3825"
"DALENE","Walker","2/23/1963 6:42:55 AM","1451 Eighth St.","560-61-2640"
"LESLIE","Clark","3/14/1977 1:38:35 PM","6336 First Rd.","364-44-8716"
"VANESA","Taylor","1/14/2003 12:17:16 AM","4713 South Second St.","670-61-3333"
"PHOEBE","Wilson","1/31/1945 3:49:23 PM","8249 South View Rd.","058-62-2651"
"ALEX","Thompson","12/3/1970 2:28:03 AM","8479 North Maple Dr.","761-70-3182"
"SHENA","Davis","12/22/1984 9:23:43 AM","2987 Ninth St.","755-06-6085"
"GERTRUDIS","Smith","10/23/2010 8:02:24 PM","5470 Main Dr.","062-37-0074"
"LILLIAN","Jones","11/10/1952 11:34:31 AM","8595 First St.","538-24-1685"
"MAGAN","Brown","11/30/1966 6:30:11 PM","6332 South Fifth Rd.","545-43-8617"
"PHYLICIA","Garcia","10/1/1992 5:08:52 AM","7865 View Dr.","864-80-4487"
"CECILY","Moore","10/21/2006 12:04:31 PM","7204 Fourth St.","171-00-6778"
"KEILA","Anderson","8/20/1960 7:19:39 AM","8498 North Third Dr.","834-77-8501"
"ILEANA","Thomas","9/9/1974 2:15:19 PM","4464 Second Dr.","751-33-1887"
"VALORIE","Martin","9/28/1988 9:10:59 PM","9148 First Dr.","628-70-2366"
"MARAGRET","Hall","7/31/2014 7:49:40 AM","696 View Dr.","512-22-1127"
"SHONA","Brown","8/17/1956 11:21:47 PM","7050 View Rd.","548-28-5361"
"ENEIDA","White","6/19/1982 10:00:27 AM","4656 Cedar Rd.","445-06-3666"
"DEENA","Thompson","7/8/1996 4:56:07 PM","2749 Fifth Dr.","606-36-1621"
"MAZIE","Clark","5/8/1950 12:11:15 PM","2894 Cedar St.","582-47-7554"
"NATALIE","Allen","5/27/1964 7:06:55 PM","9653 Lake St.","881-80-5084"
"CHASITY","Martin","6/17/1978 2:02:35 AM","2823 Ninth Dr.","057-74-0734"
"VIVIAN","Martinez","4/17/2004 12:41:16 PM","8954 East Lake St.","371-84-2764"
"JANAE","Walker","5/6/1946 4:13:22 AM","6923 South First Dr.","552-68-2877"
"MAYA","Smith","5/25/1960 11:09:02 AM","3016 Third Dr.","230-65-7320"
"LUPE","Thompson","3/26/1986 9:47:43 PM","7117 Seventh Rd.","610-81-7880"
"MARIVEL","Young","4/15/2000 4:43:23 AM","1913 Park Rd.","481-46-4824"
"ROSSIE","Taylor","5/5/2014 11:39:03 AM","9186 Ninth Rd.","453-04-3631"
"XIAO","Hall","1/3/1994 5:32:51 PM","8589 Elm Dr.","563-70-6112"
"JEANETTE","Martin","3/24/1982 1:49:51 PM","4071 First Dr.","651-50-4667"
"TYESHA","Robinson","4/12/1996 8:45:31 PM","5615 Sixth Rd.","515-28-8120"
"LORETTE","Thomas","2/10/1950 4:00:38 PM","6023 Oak St.","133-31-3013"
"EVANGELINE","Williams","3/1/1964 10:56:18 PM","6996 Third Rd.","820-02-5408"
"NEDRA","Lee","11/2/2015 8:13:40 PM","2545 Oak St.","183-26-2232"
"ELKE","Garcia","1/21/2004 4:30:39 PM","7811 West First Dr.","602-45-7731"
"VIVIEN","King","2/8/1946 8:02:45 AM","1540 Ninth Dr.","605-85-3820"
"KAROL","King","12/10/1971 6:41:26 PM","4942 First St.","558-02-8664"
"CATINA","Jones","12/30/1985 1:37:06 AM","1837 Hill St.","544-35-6084"
"MARYLIN","Davis","8/30/1965 7:30:55 AM","9939 Fifth St.","033-75-0547"
"JOELLE","Miller","11/18/1953 3:47:54 AM","2285 Fourth St.","463-45-1265"
"RACHAL","Jones","12/8/1967 10:43:34 AM","3354 East Park St.","125-70-7365"
"AURORE","Davis","8/8/1947 4:37:22 PM","2591 Oak Rd.","648-72-2562"
"HUI","Garcia","10/29/2007 4:17:55 AM","7374 West Elm Rd.","134-21-1252"
"ROSAURA","Davis","6/29/1987 10:11:43 AM","6012 Lake Rd.","258-23-2803"
"HARRIETTE","Garcia","9/17/1975 6:28:42 AM","267 Main Rd.","424-36-1080"
"FANNIE","Rodriguez","10/6/1989 1:24:22 PM","681 Washington Dr.","316-82-4013"
"SHANTA","Taylor","8/8/2015 12:03:03 AM","1099 Third Dr.","782-16-3336"
"MAXINE","Moore","8/25/1957 3:35:09 PM","457 Ninth Dr.","474-46-4143"
"MAYE","Anderson","4/27/2009 12:52:32 PM","9640 Main St.","753-44-7103"
"RUDY","Wilson","5/16/1951 4:24:38 AM","835 Park St.","264-08-2664"
"MARINDA","Jones","8/5/2011 4:05:11 PM","9877 Sixth St.","256-56-6200"
"KRISTEL","Moore","4/5/1991 9:58:59 PM","8529 Park St.","620-15-4345"
"BRANDEE","Davis","6/24/1979 6:15:58 PM","3681 Seventh Dr.","774-15-2017"
"DEDRA","Allen","2/23/1959 12:09:46 AM","2371 Ninth Dr.","440-57-7450"
"ERIN","Johnson","3/14/1973 7:05:26 AM","5885 Hill Dr.","082-43-2476"
"RETHA","Johnson","4/3/1987 2:01:06 PM","9200 Elm Dr.","446-41-8204"
"LING","Harris","2/2/2013 12:39:47 AM","3598 Park St.","370-26-7764"
"HANA","Thomas","2/20/1955 4:11:53 PM","7139 Park Dr.","573-85-3150"
"THU","Brown","3/11/1969 11:07:34 PM","6431 Maple Dr.","073-74-7323"
"CATALINA","Walker","1/11/1995 9:46:15 AM","9018 Fourth St.","277-50-0634"
"FLETA","Hernandez","1/30/2009 4:41:55 PM","7691 Hill Dr.","057-10-6875"
"MODESTA","Thomas","11/30/1962 11:57:02 AM","8340 Ninth Dr.","765-80-1570"
"SUELLEN","Thompson","12/19/1976 6:52:42 PM","2214 Eighth St.","770-23-4027"
"AUDREA","Jones","10/21/2002 5:31:23 AM","8849 Cedar Rd.","628-77-1726"
"IDELLA","Martin","11/9/2016 12:27:03 PM","7143 Seventh Dr.","527-88-2567"
"MELISSIA","Jones","11/28/1958 3:59:09 AM","4732 Fifth Rd.","887-45-3218"
"SUSAN","Clark","9/28/1984 2:37:50 PM","7969 View Dr.","524-33-2816"
"NIKIA","Lewis","10/18/1998 9:33:31 PM","672 South Washington Rd.","128-51-7252"
"OLINDA","Hall","8/17/1952 4:48:37 PM","6444 Washington St.","202-13-1473"
"JENI","White","9/6/1966 11:44:18 PM","6671 Fifth Dr.","367-63-1015"
"STARR","Johnson","9/26/1980 6:39:58 AM","4050 Oak St.","087-23-8363"
"SAVANNAH","Anderson","10/16/1994 1:35:38 PM","7050 East Maple Rd.","085-62-3104"
"MARYELLEN","Allen","8/15/1948 8:50:45 AM","6219 Cedar St.","823-00-3647"
"JOHNETTA","Williams","9/4/1962 3:46:25 PM","3484 Cedar St.","241-82-2805"
"ADRIAN","Clark","9/23/1976 10:42:05 PM","3607 Oak Rd.","486-06-5561"
"EDIE","Davis","7/26/2002 9:20:46 AM","108 Pine Rd.","556-10-3516"
"ILLA","Davis","8/14/2016 4:16:27 PM","5399 Fifth Rd.","155-53-2807"
"OZIE","White","4/14/1996 10:10:15 PM","2076 View Dr.","678-78-4081"
"ALEXA","White","5/5/2010 5:05:55 AM","3701 Park St.","502-34-0377"
"YOSHIE","Robinson","7/24/1998 1:22:54 AM","8949 Third St.","471-05-5648"
"JULIE","Young","3/24/1978 7:16:42 AM","8589 Fourth Rd.","627-45-6224"
"ALTAGRACIA","Smith","4/12/1992 2:12:22 PM","2898 First Rd.","883-04-1701"
"SADYE","Hall","2/10/1946 9:27:29 AM","8139 Pine Dr.","252-48-3752"
"ADRIAN","Thomas","3/1/1960 4:23:09 PM","2434 Seventh St.","453-57-0315"
"CORTNEY","Jones","3/21/1974 11:18:49 PM","2978 Third St.","430-32-1602"
"ELISABETH","Thompson","1/21/2000 9:57:31 AM","9111 Eighth Rd.","017-72-7200"
"VERGIE","White","2/9/2014 4:53:11 PM","6987 Cedar Rd.","406-74-6505"
"PORSCHE","Harris","2/28/1956 8:25:16 AM","2293 Lake Rd.","532-41-2455"
"ELAINA","Rodriguez","12/29/1981 7:03:58 PM","1337 Third Rd.","408-41-0712"
"WONDA","Anderson","1/19/1996 1:59:38 AM","6982 Main Rd.","523-81-6358"
"NOEMI","Smith","2/7/2010 8:55:18 AM","7051 Hill Rd.","580-14-7068"
"DARCEY","Thomas","10/8/1989 2:49:06 PM","7525 Cedar St.","107-52-5385"
"SHERIE","Smith","10/28/2003 9:44:46 PM","925 Third Dr.","225-78-6035"
"TYNISHA","Brown","11/15/1945 1:16:52 PM","6815 Park St.","524-58-1150"
"JAZMIN","Davis","12/5/1959 8:12:32 PM","493 Second Rd.","442-12-3788"
"DELPHINE","Lewis","10/6/1985 6:51:14 AM","4780 Fifth Rd.","817-05-0213"
"THEO","Moore","10/26/1999 1:46:54 PM","1913 Fifth St.","232-58-8383"
"MURIEL","Walker","11/14/2013 8:42:34 PM","1622 Park Dr.","610-05-5621"
"QUYEN","Hernandez","9/14/1967 3:57:40 PM","1061 Sixth St.","333-57-2545"
"GOLDIE","Hernandez","10/3/1981 10:53:21 PM","6485 Cedar Dr.","161-33-6756"
"JENNIE","Clark","8/5/2007 9:32:02 AM","7383 Hill St.","580-10-5348"
"RAEANN","Thompson","8/23/1949 1:04:07 AM","1732 View Dr.","006-53-6443"
"DALE","Miller","9/12/1963 7:59:48 AM","4017 Second St.","136-13-0476"
"CARYN","Lee","7/13/1989 6:38:29 PM","1646 View St.","577-66-1775"
"HELENE","Davis","8/3/2003 1:34:10 AM","6800 Cedar Dr.","304-82-4245"
"MIKI","Hernandez","6/1/1957 8:49:16 PM","2470 Washington Dr.","744-74-7878"
"MARYJANE","Moore","6/22/1971 3:44:56 AM","1015 Fourth Rd.","231-06-4024"
"ILENE","Walker","4/22/1997 2:23:38 PM","3095 Third St.","367-48-6123"
"SVETLANA","Wilson","5/12/2011 9:19:18 PM","5127 Elm St.","455-65-3684"
"KRISTINA","Garcia","5/30/1953 12:51:23 PM","6491 East Fifth St.","343-61-2562"
"MIKE","White","3/31/1979 11:30:05 PM","5614 Washington Dr.","060-43-2406"
"ETHELENE","Garcia","4/20/1993 6:25:45 AM","2835 Ninth Rd.","450-07-6663"
"MAYBELL","Young","5/10/2007 1:21:26 PM","630 Sixth Rd.","615-60-5833"
"ERLINDA","Lewis","3/9/1961 8:36:32 AM","5629 Washington Dr.","461-18-8375"
"YOLANDA","Young","3/29/1975 3:32:12 PM","7242 Washington Dr.","403-58-7523"
"VADA","Smith","11/27/1954 9:26:00 PM","9465 South Seventh St.","402-86-7258"
"KATHLENE","Miller","2/17/2015 9:06:34 AM","9865 Eighth St.","058-61-3200"
"LEISA","Thompson","3/7/1957 12:38:39 AM","3276 Fourth Dr.","155-40-0131"
"ROSELINE","Thomas","11/6/2008 9:56:02 PM","2143 Fifth St.","571-60-5714"
"YOKO","White","1/25/1997 6:13:01 PM","7036 Lake St.","848-48-7154"
"ANGELINA","Lee","9/26/1976 12:06:49 AM","2870 Washington St.","345-44-7232"
"ROSIO","Williams","12/14/1964 8:23:48 PM","9961 Fifth St.","033-48-6786"
"GWYN","Anderson","1/4/1979 3:19:28 AM","1354 Third Dr.","781-12-6651"
"EVELYN","White","9/4/1958 9:13:16 AM","5623 East Park Dr.","856-06-7250"
"LUCILLE","Thomas","11/23/1946 5:30:14 AM","1438 South Ninth St.","181-78-0168"
"ANGELIKA","Taylor","7/26/1998 2:47:38 AM","5007 Third Rd.","404-78-3857"
"ALEEN","Garcia","10/13/1986 11:04:37 PM","4594 Ninth Rd.","504-32-1051"
"KAYLEE","Robinson","11/2/2000 6:00:17 AM","5303 North Pine Dr.","460-03-4056"
"ROSELYN","Hall","9/2/1954 1:15:23 AM","7278 East Pine Rd.","367-77-0787"
"MYONG","King","9/21/1968 8:11:03 AM","9724 Third St.","588-44-6183"
"CASSIDY","Walker","5/22/1948 2:04:51 PM","384 Seventh Rd.","762-35-1342"
"JANAE","Martinez","8/12/2008 1:45:26 AM","5574 Eighth Dr.","273-64-7280"
"JULIANE","Jones","8/30/1950 5:17:30 PM","9283 Eighth Rd.","815-25-2267"
"KENDALL","Martin","7/1/1976 3:56:12 AM","7383 Main Dr.","663-36-1204"
"MARION","King","7/21/1990 10:51:53 AM","7323 View St.","484-45-7543"
"CIERRA","Hall","5/21/2016 9:30:34 PM","9566 Ninth Rd.","647-71-1565"
"NIKOLE","Anderson","6/9/1958 1:02:39 PM","4202 Cedar Dr.","053-53-4517"
"SHARLA","Garcia","6/28/1972 7:58:19 PM","5987 Second St.","084-33-0374"
"ELENORE","Robinson","4/30/1998 6:37:01 AM","2331 West Oak Rd.","155-86-7385"
"EUN","Walker","5/19/2012 1:32:42 PM","6068 Fourth Rd.","443-03-8208"
"MELODEE","Thomas","3/19/1966 8:47:47 AM","9219 Hill Dr.","527-03-1743"
"TELMA","Anderson","4/7/1980 3:43:28 PM","9472 Washington Rd.","830-61-6256"
"KATHRIN","Allen","2/7/2006 2:22:10 AM","831 Sixth Dr.","070-52-3241"
"AMBERLY","Hernandez","2/25/1948 5:54:14 PM","1822 Hill St.","347-74-0430"
"BRANDI","Jackson","12/27/1973 4:32:56 AM","4336 Second Dr.","360-51-1157"
"SIMONE","Young","1/16/1988 11:28:37 AM","4627 Fourth Rd.","875-11-7016"
"YU","Miller","2/4/2002 6:24:17 PM","8438 Elm Dr.","628-06-2238"
"MARIS","Thompson","2/25/2016 1:19:58 AM","9841 Maple Rd.","415-77-6610"
"CORINNA","Rodriguez","12/24/1969 8:35:03 PM","4085 Hill St.","845-18-2280"
"FIDELIA","Thomas","1/14/1984 3:30:44 AM","4687 Fifth Dr.","235-63-7445"
"TERRI","Williams","11/14/2009 2:09:26 PM","970 Elm Dr.","641-58-1034"
"ZAIDA","King","12/3/1951 5:41:30 AM","2642 Pine Rd.","750-82-4410"
"GERI","White","12/22/1965 12:37:11 PM","9132 Maple St.","316-37-1427"
"JENNEFER","Davis","8/22/1945 6:30:58 PM","5272 Park Rd.","384-74-8462"
"LENITA","White","9/12/1959 1:26:39 AM","1273 Hill Dr.","147-65-2427"
"TRICIA","Clark","10/1/1973 8:22:19 AM","8240 Ninth Rd.","260-85-8211"
"KATHLEEN","Garcia","10/21/1987 3:18:00 PM","9328 Hill Rd.","855-25-3858"
"GRAZYNA","Hernandez","8/22/2013 1:56:42 AM","8520 Park St.","742-48-1810"
"AMIEE","Taylor","9/9/1955 5:28:46 PM","2305 Hill St.","124-06-0583"
"CLARINE","Martinez","7/11/1981 4:07:28 AM","2784 Park St.","867-43-2471"
"LEILANI","Anderson","7/31/1995 11:03:09 AM","7155 Fifth Dr.","612-28-5284"
"DEJA","Brown","5/30/1949 6:18:14 AM","1157 View St.","831-28-0447"
"LATONIA","Thompson","6/19/1963 1:13:54 PM","8113 Fourth Dr.","347-41-6128"
"DEE","Anderson","7/8/1977 8:09:35 PM","9081 Eighth Dr.","188-75-7745"
"TRINA","Jones","5/10/2003 6:48:17 AM","641 View Dr.","778-18-1048"
"GRACIELA","Young","5/27/1945 10:20:21 PM","5470 Fourth Dr.","104-51-8680"
"MARVELLA","Hernandez","6/17/1959 5:16:02 AM","7431 West Washington Dr.","472-88-0622"
"YONG","Anderson","4/17/1985 3:54:44 PM","2421 Pine St.","715-43-4873"
"NAOMI","Wilson","5/7/1999 10:50:25 PM","9400 Elm Dr.","415-15-7447"
"MELVINA","Wilson","1/6/1979 4:44:12 AM","3630 Fourth Dr.","625-85-4206"
"OFELIA","Thomas","3/27/1967 1:01:10 AM","1113 Maple St.","802-72-0580"
"TARI","Smith","4/15/1981 7:56:51 AM","6982 Seventh Dr.","646-80-8656"
"KEELEY","Allen","12/14/1960 1:50:38 PM","3720 Fifth Dr.","303-66-8023"
"JAME","Harris","3/4/1949 10:07:37 AM","4694 Seventh Dr.","108-40-4185"
"HORTENSE","Garcia","1/23/1989 3:42:00 AM","6212 Pine Rd.","575-63-3885"
"MORA","Wilson","11/24/2014 2:20:42 PM","2889 Third St.","565-52-2547"
"CELESTINE","Garcia","10/13/1982 4:31:28 PM","9788 Eighth Dr.","828-82-0370"
"CAROLA","Garcia","1/1/1971 12:48:26 PM","7705 Hill St.","573-22-0354"
"SHERON","Clark","9/1/1950 6:42:14 PM","900 Hill St.","448-54-8700"
"ANGLA","Thompson","9/21/1964 1:37:54 AM","4916 Fifth Dr.","717-27-0131"
"TENA","Young","12/9/1952 9:54:53 PM","7170 First St.","412-57-7204"
"SUMIKO","Johnson","8/11/2004 7:12:17 PM","809 Third Rd.","422-66-0586"
"MARGARETA","Clark","10/30/1992 3:29:16 PM","8511 Third St.","665-34-0675"
"CYNDI","Lewis","6/30/1972 9:23:03 PM","6266 Ninth Dr.","202-38-3026"
"RHEBA","Walker","7/21/1986 4:18:44 AM","7172 Elm Dr.","811-85-4212"
"MILA","Rodriguez","10/9/1974 12:35:42 AM","6493 Oak St.","338-48-2125"
"HATTIE","Johnson","6/9/1954 6:29:29 AM","4007 Lake St.","056-07-2038"
"ANNAMARIE","Hernandez","8/29/2014 6:10:05 PM","8300 West Oak Dr.","134-11-1850"
"MOZELLE","Walker","4/30/1994 12:03:53 AM","7377 Maple Dr.","888-71-8614"
"ELENORE","Young","5/19/2008 6:59:33 AM","9616 Eighth St.","034-24-6440"
"ALVA","Jones","8/7/1996 3:16:32 AM","1844 Eighth Dr.","554-76-5162"
"TAWNYA","Garcia","4/7/1976 9:10:19 AM","8620 East Fifth Rd.","544-42-4054"
"SALENA","Robinson","4/27/1990 4:06:00 PM","2068 Sixth Dr.","327-72-0631"
"EUNICE","King","2/27/2016 2:44:42 AM","6626 Main Rd.","583-13-5064"
"BEATRICE","Hall","3/16/1958 6:16:45 PM","7935 First Rd.","830-22-0301"
"FREDRICKA","Young","6/4/1946 2:33:44 PM","5314 Fourth Rd.","735-72-8354"
"KATHARYN","Anderson","2/4/1998 11:51:09 AM","689 Sixth Dr.","254-00-1087"
"BLYTHE","Clark","12/24/1965 2:01:54 PM","6660 Sixth Rd.","537-68-6170"
"NINFA","Rodriguez","3/14/1954 10:18:52 AM","8034 Sixth Dr.","637-76-7230"
"YASMIN","Harris","4/2/1968 5:14:33 PM","1542 East Maple Rd.","167-31-1402"
"ODILIA","Robinson","12/2/1947 11:08:20 PM","623 West Pine Rd.","485-75-6214"
"SUELLEN","Jones","2/22/2008 10:48:57 AM","8724 Sixth Dr.","242-05-8400"
"SAMIRA","Harris","10/23/1987 4:42:44 PM","7918 Lake St.","547-81-0728"
"IRENA","Lewis","11/11/2001 11:38:25 PM","4593 View Dr.","212-26-1052"
"AUDRIE","Harris","1/30/1990 7:55:23 PM","8246 Main Rd.","008-18-4326"
"CLELIA","Young","10/1/1969 1:49:10 AM","677 Elm St.","813-00-8574"
"SHAWANDA","Robinson","12/19/1957 10:06:08 PM","767 Elm St.","757-68-8113"
"LYNETTA","Walker","8/21/2009 7:23:34 PM","8954 Eighth St.","644-66-6654"
"SUSY","Williams","9/9/1951 10:55:36 AM","5535 View St.","405-81-2151"
"MARYBELLE","Thompson","11/29/2011 10:36:13 PM","9399 View St.","728-73-6456"
"RUTHA","Hernandez","7/31/1991 4:30:00 AM","9556 Seventh Dr.","825-10-8166"
"ERLENE","King","10/19/1979 12:46:58 AM","6345 Elm St.","256-76-2708"
"MELANI","Hernandez","6/19/1959 6:40:45 AM","8986 Main Rd.","663-56-4540"
"TEREASA","King","9/7/1947 2:57:43 AM","573 Park Rd.","474-28-8217"
"JEANETT","Martin","9/26/1961 9:53:24 AM","2371 Washington Dr.","564-81-6035"
"LEANDRA","Williams","7/28/1987 8:32:07 PM","3700 Park St.","102-06-0650"
"SOCORRO","Brown","8/17/2001 3:27:48 AM","471 Eighth Rd.","025-06-0276"
"MARILU","Robinson","4/17/1981 9:21:35 AM","3763 View St.","683-40-5371"
"TRACIE","Thompson","7/6/1969 5:38:33 AM","8371 Seventh St.","703-72-1425"
"KYLIE","Lewis","7/26/1983 12:34:14 PM","8257 Washington St.","571-18-8571"
"JULIENNE","Taylor","3/26/1963 6:28:01 PM","5738 Fourth Dr.","654-16-2001"
